"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"TITAN",42,3204.99,4873,134609.4,204666,70056.6,52.04,0.35,""
"POLYCAB",20,6276.38,8153,125527.5,163060,37532.5,29.9,0.12,""
"NESTLEIND",50,1096.29,1391.7,54814.7,69585,14770.3,26.95,2.18,""
"Kotak Mid Cap Fund",678.282,147.42,165.887,99995.05,112518.17,12523.12,12.52,-2.29,""
"PHARMABEES",8500,23.98,26.9,203842.85,228650,24807.15,12.17,-0.15,""
"DSP Natural Resources and New Energy Fund",2255.447,109.32,121.091,246565.01,273114.33,26549.32,10.77,-0.88,""
"Parag Parikh ELSS Tax Saver Fund",3561.202,28.08,31.0064,99994.99,110420.05,10425.06,10.43,-0.62,""
"GOLDBEES",5170,118.05,124.58,610318.92,644078.6,33759.68,5.53,0.78,""
"Bandhan Small Cap Fund",2238.754,37.52,39.278,83995.81,87933.78,3937.97,4.69,-2.08,""
"ARVINDFASN",165,408.86,425.85,67462.3,70265.25,2802.95,4.15,-0.62,""
"Motilal Oswal Nifty Midcap 150 Index Fund",5628.389,39.09,40.5956,219988.96,228487.83,8498.87,3.86,-2.14,""
"Parag Parikh Flexi Cap Fund",6143.399,87.08,89.5712,534973.33,550271.62,15298.29,2.86,0.1,""
"JUNIORBEES",442,743.04,763.2,328422.04,337334.4,8912.36,2.71,0.06,""
"Kotak Arbitrage Fund",117976.251,42.37,43.2434,4998984.09,5101694.21,102710.12,2.05,0.08,""
"SBIN",182,973.8,979.8,177231.8,178323.6,1091.8,0.62,1.07,""
"Franklin India NSE Nifty 50 Index Fund",2013.125,198.69,197.8683,399980.16,398333.62,-1646.53,-0.41,-1.19,""
"AXISBANK",105,1231.07,1225.1,129262.5,128635.5,-627,-0.49,0.18,""
"ITI Small Cap Fund",2571.842,38.88,37.7448,99995.02,97073.66,-2921.36,-2.92,-3.5,""
"SETFNIF50",3685,271.94,250.79,1002102.31,924161.15,-77941.16,-7.78,0.28,""
"ITBEES",9360,37.16,32.9,347784.71,307944,-39840.71,-11.46,0.09,""
"HDFCBANK",328,859.59,715,281945.4,234520,-47425.4,-16.82,-0.28,""
"SILVERCASE",7250,29.62,23.17,214745,167982.5,-46762.5,-21.78,1.89,""
